project_id,Type,Unit,StartPrice,HighPrice,PricePerArea,Province,project_status,BuiltDate
9411,บ้านเดี่ยว,,2750000,3150000,,พิษณุโลก,A,2018-01-25T16:26:49.333Z
9292,บ้านเดี่ยว,33,2750000,,,เพชรบูรณ์,A,2017-12-15T13:46:42.620Z
7546,ทาวน์โฮม,,2750000,3400000,,ภูเก็ต,A,2016-10-27T11:47:01.333Z
9320,บ้านเดี่ยว,,2750000,,,ลพบุรี,A,2017-12-26T11:29:36.120Z
7609,บ้านเดี่ยว,,2750000,,,สงขลา,A,2016-10-31T11:33:26.750Z
3178,คอนโดมิเนียม,654,2760000,,,กรุงเทพมหานคร,U,2012-02-28T13:57:07.740Z
6129,คอนโดมิเนียม,413,2760000,,98571.43,เพชรบุรี,A,2015-12-02T14:00:21.893Z
4428,บ้านเดี่ยว,26,2770000,,,เชียงใหม่,A,2013-11-21T15:08:07.890Z
9196,บ้านแฝด,36,2770000,,,นนทบุรี,A,2017-11-16T11:45:21.950Z
3326,คอนโดมิเนียม,290,2774500,,89355.88,กรุงเทพมหานคร,A,2012-04-18T14:25:59.260Z
6035,บ้านแฝด,,2780000,,,ชลบุรี,A,2015-11-18T14:11:18.737Z
6176,บ้านเดี่ยว,,2780000,,,ปทุมธานี,A,2015-12-16T09:29:51.533Z
8919,คอนโดมิเนียม,,2790000,,91715.98,กระบี่,A,2017-08-28T16:16:15.367Z
8878,คอนโดมิเนียม,140,2790000,4600000,57931.89,กระบี่,A,2017-08-16T09:39:09.753Z
3117,คอนโดมิเนียม,128,2790000,11630000,82422.45,กรุงเทพมหานคร,A,2012-02-14T18:09:15.167Z
5642,คอนโดมิเนียม,527,2790000,,93000,กรุงเทพมหานคร,A,2015-08-11T10:01:00.267Z
5987,คอนโดมิเนียม,229,2790000,,111600,กรุงเทพมหานคร,A,2015-11-12T10:51:57.767Z
6368,ทาวน์โฮม,124,2790000,,,กรุงเทพมหานคร,A,2016-04-08T09:49:05.663Z
8773,คอนโดมิเนียม,317,2790000,,108560.31,กรุงเทพมหานคร,A,2017-07-19T09:38:13.480Z
8757,ทาวน์โฮม,301,2790000,,,กรุงเทพมหานคร,A,2017-07-05T13:06:54.697Z
6705,บ้านเดี่ยว,,2790000,,,ขอนแก่น,A,2016-09-22T10:01:18.123Z
6676,บ้านเดี่ยว,,2790000,3900000,,ขอนแก่น,U,2016-09-21T13:08:45.883Z
8150,บ้านเดี่ยว,,2790000,,,ขอนแก่น,A,2016-12-09T10:09:17.343Z
6399,บ้านเดี่ยว,21,2790000,,,ขอนแก่น,A,2016-04-27T10:14:06.303Z
5028,บ้านเดี่ยว,,2790000,2890000,,ฉะเชิงเทรา,U,2014-07-28T11:50:39.620Z
5966,บ้านแฝด,,2790000,3890000,,ฉะเชิงเทรา,A,2015-11-10T10:58:16.967Z
7205,บ้านเดี่ยว,53,2790000,2900000,,ฉะเชิงเทรา,U,2016-10-12T15:00:21.280Z
4811,บ้านแฝด,,2790000,,,ชลบุรี,A,2014-03-07T10:58:18.177Z
5667,บ้านเดี่ยว,211,2790000,,,ชลบุรี,A,2015-09-01T16:59:58.670Z
7123,ทาวน์โฮม,,2790000,7300000,,ชลบุรี,A,2016-10-10T16:17:30.840Z
7095,บ้านแฝด,479,2790000,,,ชลบุรี,A,2016-10-10T10:31:41.223Z
7352,คอนโดมิเนียม,80,2790000,,,ชลบุรี,A,2016-10-19T09:56:04.333Z
7247,คอนโดมิเนียม,79,2790000,,,ชลบุรี,A,2016-10-13T15:04:25.430Z
8640,โฮมออฟฟิศ,,2790000,,,เชียงราย,A,2017-05-15T12:06:44.397Z
3390,บ้านเดี่ยว,600,2790000,,,เชียงใหม่,A,2012-06-15T10:12:36.840Z
3446,บ้านเดี่ยว,,2790000,,,เชียงใหม่,A,2012-07-03T14:21:43.437Z
4438,บ้านแฝด,65,2790000,,,เชียงใหม่,A,2013-11-22T14:23:21.773Z
5588,บ้านเดี่ยว,,2790000,7500000,,เชียงใหม่,A,2015-07-03T15:30:25.757Z
8478,ทาวน์โฮม,,2790000,,,ตรัง,A,2017-03-27T15:18:14.880Z
